gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,placed,salary
M,84.0,Others,79.0,Others,Science,68.0,Sci&Tech,1,84.0,Mkt&Fin,66.69,1,300000.0
M,70.0,Central,63.0,Others,Science,70.0,Sci&Tech,1,55.0,Mkt&Fin,62.0,1,300000.0
F,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,1,78.74,Mkt&Fin,76.18,1,400000.0
M,62.0,Others,63.0,Others,Commerce,64.0,Comm&Mgmt,0,67.0,Mkt&Fin,57.03,1,220000.0
M,59.6,Central,51.0,Central,Science,60.0,Others,0,75.0,Mkt&HR,59.08,0,
F,66.0,Central,62.0,Central,Commerce,73.0,Comm&Mgmt,0,58.0,Mkt&HR,64.36,1,210000.0
F,84.0,Others,75.0,Others,Science,69.0,Sci&Tech,1,62.0,Mkt&HR,62.36,1,210000.0
F,85.0,Others,90.0,Others,Commerce,82.0,Comm&Mgmt,0,92.0,Mkt&Fin,68.03,1,300000.0
M,52.0,Central,57.0,Central,Commerce,50.8,Comm&Mgmt,0,67.0,Mkt&HR,62.79,0,
F,60.23,Central,69.0,Central,Science,66.0,Comm&Mgmt,0,72.0,Mkt&Fin,59.47,1,230000.0
M,52.0,Central,62.0,Central,Commerce,54.0,Comm&Mgmt,0,72.0,Mkt&HR,55.41,0,
M,58.0,Central,62.0,Central,Commerce,64.0,Comm&Mgmt,0,53.88,Mkt&Fin,54.97,1,260000.0
M,73.0,Central,78.0,Others,Commerce,65.0,Comm&Mgmt,1,95.46,Mkt&Fin,62.16,1,420000.0
F,76.0,Central,70.0,Central,Science,76.0,Comm&Mgmt,1,66.0,Mkt&Fin,64.44,1,300000.0
F,70.5,Central,62.5,Others,Commerce,61.0,Comm&Mgmt,0,93.91,Mkt&Fin,69.03,0,
F,69.0,Central,73.0,Central,Commerce,65.0,Comm&Mgmt,0,70.0,Mkt&Fin,57.31,1,220000.0
M,54.0,Central,82.0,Others,Commerce,63.0,Sci&Tech,0,50.0,Mkt&Fin,59.47,0,
F,45.0,Others,57.0,Others,Commerce,58.0,Comm&Mgmt,1,56.39,Mkt&HR,64.95,0,
M,63.0,Central,72.0,Central,Commerce,68.0,Comm&Mgmt,0,78.0,Mkt&HR,60.44,1,380000.0
F,77.0,Others,61.0,Others,Commerce,68.0,Comm&Mgmt,1,57.5,Mkt&Fin,61.31,1,300000.0
M,73.0,Central,78.0,Central,Science,73.0,Sci&Tech,1,85.0,Mkt&HR,65.83,1,240000.0
M,69.0,Central,63.0,Others,Science,65.0,Comm&Mgmt,1,55.0,Mkt&HR,58.23,1,360000.0
M,59.0,Central,64.0,Others,Science,58.0,Sci&Tech,0,85.0,Mkt&HR,55.3,0,
M,61.08,Others,50.0,Others,Science,54.0,Sci&Tech,0,71.0,Mkt&Fin,65.69,0,
M,82.0,Others,90.0,Others,Commerce,83.0,Comm&Mgmt,0,80.0,Mkt&HR,73.52,1,200000.0
M,61.0,Central,82.0,Central,Commerce,69.0,Comm&Mgmt,0,84.0,Mkt&Fin,58.31,1,300000.0
M,52.0,Central,63.0,Others,Science,65.0,Sci&Tech,1,86.0,Mkt&HR,56.09,0,
F,69.5,Central,70.0,Central,Science,72.0,Sci&Tech,0,57.2,Mkt&HR,54.8,1,250000.0
M,51.0,Others,54.0,Others,Science,61.0,Sci&Tech,0,60.0,Mkt&HR,60.64,0,
M,58.0,Others,61.0,Others,Commerce,61.0,Comm&Mgmt,0,58.0,Mkt&HR,53.94,1,250000.0
F,73.96,Others,79.0,Others,Commerce,67.0,Comm&Mgmt,0,72.15,Mkt&Fin,63.08,1,280000.0
M,65.0,Central,68.0,Others,Science,69.0,Comm&Mgmt,0,53.7,Mkt&HR,55.01,1,250000.0
F,73.0,Others,63.0,Others,Science,66.0,Comm&Mgmt,0,89.0,Mkt&Fin,60.5,1,216000.0
